id	entry
5c3630c83ce2c8000111b504	macaw
5c3630c83ce2c8000111b504	lizard
5c38f43bb594c40001212d39	dog
5c38f43bb594c40001212d39	cat
5c38f43bb594c40001212d39	bird
5c38f43bb594c40001212d39	horse
5c38f43bb594c40001212d39	mule
5c38f43bb594c40001212d39	sheep
5c38f43bb594c40001212d39	pig
5c38f43bb594c40001212d39	donkey
5c38f43bb594c40001212d39	turkey
5c38f43bb594c40001212d39	deer
5c38f43bb594c40001212d39	elephant
5c38f43bb594c40001212d39	tiger
5c38f43bb594c40001212d39	whale
5c38f43bb594c40001212d39	shark
5c38f43bb594c40001212d39	fish
5c38f43bb594c40001212d39	zebra
5c38f43bb594c40001212d39	stork
5c38f43bb594c40001212d39	pelican
5c38f43bb594c40001212d39	bear
5c38f43bb594c40001212d39	eagle
5c83394a3e93bf0001e143d6	cat
5c83394a3e93bf0001e143d6	dog
5c83394a3e93bf0001e143d6	giraffe
5c83394a3e93bf0001e143d6	ape
5c83394a3e93bf0001e143d6	chimpanzee
5c83394a3e93bf0001e143d6	monkey
5c83394a3e93bf0001e143d6	dolphin
5c83394a3e93bf0001e143d6	dolphin
5c83394a3e93bf0001e143d6	shark
5c83394a3e93bf0001e143d6	whale
5c83394a3e93bf0001e143d6	mantaray
5c83394a3e93bf0001e143d6	eel
5c83394a3e93bf0001e143d6	fish
5c83394a3e93bf0001e143d6	gorilla
5c83394a3e93bf0001e143d6	orangutan
5c83394a3e93bf0001e143d6	shrimp
5c83394a3e93bf0001e143d6	starfish
5c83394a3e93bf0001e143d6	horse
5c83394a3e93bf0001e143d6	parrot
5c83394a3e93bf0001e143d6	peacock
5c83394a3e93bf0001e143d6	swan
5c83394a3e93bf0001e143d6	duck
5c83394a3e93bf0001e143d6	goose
5c83394a3e93bf0001e143d6	chicken
5c83394a3e93bf0001e143d6	pig
5c83394a3e93bf0001e143d6	cow
5c83394a3e93bf0001e143d6	turkey
5c83394a3e93bf0001e143d6	boar
5c83394a3e93bf0001e143d6	woollymammoth
5c83394a3e93bf0001e143d6	ox
5c83394a3e93bf0001e143d6	snake
5c83394a3e93bf0001e143d6	rat
5c83394a3e93bf0001e143d6	mouse
5c83394a3e93bf0001e143d6	hamster
5c83394a3e93bf0001e143d6	gerbil
5c83394a3e93bf0001e143d6	rooster
5c83394a3e93bf0001e143d6	sloth
5c83394a3e93bf0001e143d6	leopard
5c83394a3e93bf0001e143d6	puma
5c83394a3e93bf0001e143d6	crocodile
5c83394a3e93bf0001e143d6	hippopotamus
5c83394a3e93bf0001e143d6	alligator
5c83394a3e93bf0001e143d6	owl
5ca60cd95a6f9a0015b2d034	dog
5ca60cd95a6f9a0015b2d034	cat
5ca60cd95a6f9a0015b2d034	cow
5ca60cd95a6f9a0015b2d034	horse
5ca60cd95a6f9a0015b2d034	tiger
5ca60cd95a6f9a0015b2d034	wolf
5ca60cd95a6f9a0015b2d034	coyote
5ca60cd95a6f9a0015b2d034	deer
5ca60cd95a6f9a0015b2d034	skunk
5ca60cd95a6f9a0015b2d034	chicken
5ca60cd95a6f9a0015b2d034	fox
5ca60cd95a6f9a0015b2d034	antelope
5ca60cd95a6f9a0015b2d034	elephant
5ca60cd95a6f9a0015b2d034	fox
5cab69f77ea4a700019a87dc	cat
5cab69f77ea4a700019a87dc	dog
5cab69f77ea4a700019a87dc	fish
5cab69f77ea4a700019a87dc	lion
5cab69f77ea4a700019a87dc	tiger
5cab69f77ea4a700019a87dc	bear
5cab69f77ea4a700019a87dc	turtle
5cab69f77ea4a700019a87dc	snake
5cab69f77ea4a700019a87dc	lizard
5cab69f77ea4a700019a87dc	gerbil
5cab69f77ea4a700019a87dc	hamster
5cab69f77ea4a700019a87dc	panda
5cab69f77ea4a700019a87dc	sloth
5cab69f77ea4a700019a87dc	crocodile
5cab69f77ea4a700019a87dc	alligator
